Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-07-27,0,Mon,MIL,SFN,lohsk001,hestc001,2,4,29,6,2,0,1,4,0,1,0,3,0,2,2,0,0,0,5,3,2,2,1,0,27,13,0,0,3,0,SFN201507270
2015-07-28,0,Tue,MIL,SFN,peraw001,cainm001,5,2,31,7,1,0,0,2,0,1,0,2,0,6,0,0,2,0,5,3,5,5,0,0,27,6,0,0,0,0,SFN201507280
2015-07-29,0,Wed,MIL,SFN,fierm001,peavj001,0,5,29,8,2,0,0,5,0,2,0,3,0,8,1,1,0,0,5,4,0,0,1,0,27,13,0,0,1,0,SFN201507290
2015-07-31,0,Fri,SFN,TEX,bumgm001,martn002,3,6,34,8,1,0,1,2,0,0,0,2,0,5,2,0,1,0,6,2,6,6,0,0,24,10,0,0,1,0,TEX201507310
2015-08-01,0,Sat,SFN,TEX,hestc001,hamec001,9,7,44,14,5,0,4,9,0,0,0,1,0,10,1,0,2,0,3,8,6,6,1,0,33,12,1,0,0,0,TEX201508010
2015-08-02,0,Sun,SFN,TEX,leakm001,perem004,1,2,31,4,1,0,0,1,0,0,0,1,0,6,0,0,1,0,4,3,2,2,0,0,24,9,0,0,2,0,TEX201508020
2015-08-03,0,Mon,SFN,ATL,cainm001,foltm001,8,9,46,14,2,0,4,8,0,0,1,4,0,4,0,1,4,0,7,8,8,8,0,0,33,18,2,0,2,0,ATL201508030
2015-08-04,0,Tue,SFN,ATL,peavj001,mills001,8,3,36,11,3,0,2,8,0,1,0,5,1,6,1,0,1,0,7,5,3,3,0,0,27,11,1,0,0,0,ATL201508040
2015-08-05,0,Wed,SFN,ATL,bumgm001,perew001,6,1,38,12,2,0,0,6,0,0,1,2,0,4,0,0,1,0,8,3,1,1,0,0,27,10,0,0,0,0,ATL201508050
2015-08-06,0,Thu,SFN,CHN,hestc001,hammj002,4,5,32,5,1,0,2,4,0,0,0,3,0,7,2,0,0,0,4,6,5,5,0,0,24,8,0,0,0,0,CHN201508060
2015-08-07,0,Fri,SFN,CHN,voger001,lestj001,3,7,32,8,2,0,1,3,0,0,0,3,0,5,0,1,2,0,5,4,7,7,1,0,24,3,0,0,0,0,CHN201508070
2015-08-08,0,Sat,SFN,CHN,cainm001,hendk001,6,8,36,9,2,0,1,6,0,0,0,3,0,8,0,0,1,0,6,5,8,8,0,0,24,11,1,0,3,0,CHN201508080
2015-08-09,0,Sun,SFN,CHN,peavj001,arrij001,0,2,34,7,1,1,0,0,0,0,2,2,0,9,2,0,0,0,11,3,2,2,0,0,24,3,0,0,0,0,CHN201508090
2015-08-11,0,Tue,HOU,SFN,kazms001,bumgm001,1,3,31,7,1,0,2,2,0,0,0,4,1,7,1,0,0,0,8,1,1,1,0,0,27,9,0,0,0,0,SFN201508110
2015-08-12,0,Wed,HOU,SFN,felds001,hestc001,2,0,31,5,2,0,0,0,0,0,0,1,0,8,1,0,1,0,5,5,2,2,0,0,27,12,0,0,2,0,SFN201508120
2015-08-13,0,Thu,WAS,SFN,stras001,voger001,1,3,31,8,1,2,0,3,0,0,0,3,0,9,1,0,0,0,7,4,1,1,0,0,27,7,0,0,0,0,SFN201508130
2015-08-14,0,Fri,WAS,SFN,schem001,cainm001,5,8,33,13,5,0,2,8,2,1,1,2,0,5,3,0,0,0,7,6,5,5,0,0,27,13,3,0,0,0,SFN201508140
2015-08-15,0,Sat,WAS,SFN,gonzg003,peavj001,6,12,38,13,5,1,0,12,0,0,0,4,1,7,1,0,0,0,6,3,6,6,0,0,27,9,1,0,2,0,SFN201508150
2015-08-16,0,Sun,WAS,SFN,rossj002,bumgm001,0,5,30,7,3,0,2,5,0,0,0,2,0,9,0,0,1,0,3,1,0,0,0,0,27,5,0,0,0,0,SFN201508160
2015-08-17,0,Mon,SFN,SLN,hestc001,wachm001,1,2,31,6,1,0,0,1,1,0,0,2,0,8,0,0,1,0,6,4,2,2,0,0,24,9,0,0,0,0,SLN201508170
2015-08-18,0,Tue,SFN,SLN,voger001,lynnl001,2,0,31,6,1,0,0,2,1,0,2,6,1,8,0,0,1,0,11,5,0,0,0,0,27,6,0,0,0,0,SLN201508180
2015-08-19,0,Wed,SFN,SLN,cainm001,garcj004,3,4,31,8,0,0,0,3,1,1,1,2,0,8,1,1,1,0,6,5,4,4,0,0,24,10,0,0,0,0,SLN201508190
2015-08-20,0,Thu,SFN,PIT,peavj001,mortc002,0,4,32,6,0,0,0,0,0,0,2,3,0,9,2,0,1,0,10,2,4,4,0,0,24,8,0,0,1,0,PIT201508200
2015-08-21,0,Fri,SFN,PIT,bumgm001,lockj001,6,4,39,14,4,0,2,6,0,1,0,2,1,8,0,0,1,0,9,4,4,4,0,0,27,11,0,0,2,0,PIT201508210
2015-08-22,0,Sat,SFN,PIT,leakm001,coleg001,2,3,30,4,0,0,0,1,1,0,0,4,0,10,3,0,1,0,6,3,3,3,0,0,26,10,0,0,0,0,PIT201508220
2015-08-23,0,Sun,SFN,PIT,voger001,lirif001,2,5,36,8,1,0,0,2,0,0,0,4,0,6,0,0,2,0,11,5,5,5,0,0,24,10,0,0,0,0,PIT201508230
2015-08-25,0,Tue,CHN,SFN,arrij001,cainm001,8,5,37,9,1,0,0,5,0,0,0,3,0,11,0,0,0,0,8,5,7,7,1,0,27,14,1,1,3,0,SFN201508250
2015-08-26,0,Wed,CHN,SFN,hendk001,peavj001,2,4,30,6,2,1,1,4,0,0,0,3,0,9,1,0,1,0,5,5,2,2,0,0,27,13,0,0,1,0,SFN201508260
2015-08-27,0,Thu,CHN,SFN,hared001,bumgm001,1,9,31,10,2,1,2,9,0,0,0,5,1,4,1,0,1,0,3,4,1,1,1,0,27,7,0,0,0,0,SFN201508270
2015-08-28,0,Fri,SLN,SFN,wachm001,leakm001,4,5,35,10,1,0,1,5,1,0,1,6,0,8,0,0,1,0,13,4,4,4,2,0,27,13,0,0,1,0,SFN201508280
2015-08-29,0,Sat,SLN,SFN,lynnl001,voger001,6,0,31,7,1,0,0,0,0,0,0,3,0,6,0,1,2,0,7,4,6,6,1,0,27,13,0,0,3,0,SFN201508290
2015-08-30,0,Sun,SLN,SFN,garcj004,hestc001,7,5,37,12,2,1,0,5,0,0,0,0,0,6,1,0,2,0,5,7,7,7,0,1,27,9,0,0,2,0,SFN201508300
2015-08-31,0,Mon,SFN,LAN,peavj001,andeb004,4,5,54,13,2,0,0,4,0,0,2,3,1,10,2,1,0,0,13,9,5,5,0,0,39,11,0,0,0,0,LAN201508310
2015-09-01,0,Tue,SFN,LAN,bumgm001,greiz001,1,2,32,5,0,0,0,1,0,0,0,1,0,5,0,0,1,0,5,3,2,2,0,0,24,9,0,0,0,0,LAN201509010
2015-09-02,0,Wed,SFN,LAN,leakm001,kersc001,1,2,31,6,0,0,0,1,0,0,0,1,0,15,1,1,0,0,4,2,2,2,0,0,24,10,1,0,2,0,LAN201509020
